ID,Lat,Long,Ellip_ht
1,55.2072101200,-6.6579664200,58.876
4,54.4130848400,-6.9733103500,109.357
5,55.0490689200,-7.2738710590,96.213
6,54.3457957000,-7.6706521010,119.318
7,55.1880864600,-6.7131989760,64.060
8,54.6367901500,-6.7427410110,129.910
9,54.7152187700,-7.3737702740,105.688
10,54.1756490400,-6.0467019050,431.981
11,54.8967380100,-6.1990077780,121.497
12,54.3514257400,-6.6614394000,98.352
13,54.6198693300,-6.2128939940,131.055
